dataset,agent,variant,seed,ndcg_at_10,hr_at_10,n_eval,error
ml1m,dqn,baseline_vote,1,0.06785023101907692,0.14188741721854303,6040,
ml1m,dqn,baseline_vote,2,0.05892823247720074,0.12566225165562914,6040,
ml1m,dqn,ug_mors,1,0.2856817144431815,0.5288079470198676,6040,
ml1m,dqn,ug_mors,2,0.2775610007987117,0.5251655629139073,6040,
yelp,dqn,baseline_vote,1,0.0536424012641424,0.1225796615337704,6559,
yelp,dqn,baseline_vote,2,0.05093204409888213,0.11084006708339686,6559,
yelp,dqn,ug_mors,1,0.17350408307189058,0.32718402195456625,6559,
yelp,dqn,ug_mors,2,0.17244896653912964,0.32489708797072725,6559,
videogames,dqn,baseline_vote,1,0.05571796107453247,0.12105335723149042,7253,
videogames,dqn,baseline_vote,2,0.04454305361636372,0.09816627602371432,7253,
videogames,dqn,ug_mors,1,0.09370390806430852,0.19054184475389493,7253,
videogames,dqn,ug_mors,2,0.09014658755012238,0.18323452364538811,7253,
